id,name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address,timestamp
3957,UNUS SED LEO,LEO,unus-sed-leo,False,920332300.9,985239504.0,,2019-05-21T00:00:00.000Z,69,11,2026-06-22T05:18:00.000Z,,,,,9449517928.07,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",9.591087131303393,379257.59477677,379257.59477677,0.0,21.7005,0.14285144,0.0475955,-1.8532296,-3.68849525,-6.79663958,1.78794767,8826987287.684832,0.401,9449517928.07,,2026-06-22T05:18:00.000Z,1027.0,ethereum,Ethereum,ETH,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2026-06-22 10:19:56.053157
1437,Zcash,ZEC,zcash,False,16707875.4155448,16707875.4155448,21000000.0,2016-10-29T00:00:00.000Z,625,12,2026-06-22T05:18:00.000Z,,,,,7410930719.8,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'quantum-resistant', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'layer-1', 'standard-crypto-portfolio', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",443.55913217429884,425910297.15053326,418721681.76775724,7188615.38277616,22.4459,0.35484726,-4.51490585,-9.01194779,-25.62140504,40.73662945,96.84270161,7410930719.795354,0.3366,9314741775.66,,2026-06-22T05:18:00.000Z,,,,,,2026-06-22 10:19:56.053157
512,Stellar,XLM,stellar,False,33823968990.15962,50001786839.91258,50001806812.0,2014-08-05T00:00:00.000Z,823,13,2026-06-22T05:18:00.000Z,,,31531408660.0,6700657063.618489,10625748750.88,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.21250738068416158,174844711.36111924,174687610.39929578,157100.96182344,12.8889,0.88712887,-0.43254076,12.75700417,47.64270337,21.25549729,29.4250486,7187843054.441127,0.3265,10625752995.09,,2026-06-22T05:18:00.000Z,,,,,,2026-06-22 10:19:56.053157
328,Monero,XMR,monero,True,18768154.80855164,18768154.80855164,,2014-05-21T00:00:00.000Z,370,14,2026-06-22T05:18:00.000Z,,,,,6019059491.48,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",320.70598057609595,89439237.73080651,89439237.73080651,0.0,-6.9453,-0.00677085,0.51213876,-3.96182805,-15.47457946,-12.6587449,-7.76886479,6019059491.480524,0.2734,6019059491.48,,2026-06-22T05:18:00.000Z,,,,,,2026-06-22 10:19:56.053157
37263,Canton,CC,canton-network,True,38858926306.46257,38858926306.46257,,2025-07-08T04:07:45.000Z,104,15,2026-06-22T05:17:00.000Z,,,38858926306.46,5889976463.606101,5889976463.61,"['proof-of-authority', 'store-of-value', 'enterprise-solutions', 'privacy', 'interoperability', 'scaling', 'smart-contracts', 'layer-1', 'binance-ecosystem', 'binance-listing', 'privacy-blockchain']",0.15157331978642286,13974586.00523956,13277120.83181915,697465.17342041,17.4257,0.36748968,-2.24670309,-7.03505301,-3.11389034,0.48813776,3.08569918,5889976463.606491,0.2678,5889976463.61,,2026-06-22T05:17:00.000Z,,,,,,2026-06-22 10:19:56.053157
1,Bitcoin,BTC,bitcoin,False,20046228.0,20046228.0,21000000.0,2010-07-13T00:00:00.000Z,12661,1,2026-06-22T05:19:00.000Z,,,,,1286599861127.83,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",64181.64360536186,18851865537.78739,18837994877.01466,13870660.77273627,11.1664,0.40223253,0.0353461,-2.27595901,-14.93242006,-17.67662541,-8.59709169,1286599861127.826,58.445,1347814515712.6,,2026-06-22T05:19:00.000Z,,,,,,2026-06-22 10:19:57.308320
1027,Ethereum,ETH,ethereum,True,120683877.0940639,120683877.0940639,,2015-08-07T00:00:00.000Z,12096,2,2026-06-22T05:18:00.000Z,,,,,209326049387.74,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities', 'anubis-ecosystem']",1734.4988777961187,9826358518.901814,9756257639.857082,70100879.04472412,24.8481,0.19970386,0.27506991,1.02006972,-15.98574579,-26.18145561,-18.78912886,209326049387.73856,9.5088,209326049387.74,,2026-06-22T05:18:00.000Z,,,,,,2026-06-22 10:19:57.308320
825,Tether USDt,USDT,tether,True,186436672998.23212,193153431951.95782,,2015-02-25T00:00:00.000Z,186541,3,2026-06-22T05:18:00.000Z,,,,,192921256490.86,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",0.9987979739280168,47188738769.86654,45950124344.92592,1238614424.940656,11.801,-0.00409394,0.00292796,-0.06063462,-0.00323094,-0.13938572,-0.09664054,186212571256.51443,8.4589,192921256490.86,,2026-06-22T05:18:00.000Z,1027.0,ethereum,Ethereum,ETH,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-06-22 10:19:57.308320
1839,BNB,BNB,bnb,False,134783372.81,134783372.81,134783373.61,2017-07-25T00:00:00.000Z,3281,4,2026-06-22T05:17:00.000Z,,,,,79559886631.1,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",590.2796834090936,830980860.8549798,816813297.2617983,14167563.59318164,5.2778,0.15493501,0.31282485,-4.29336045,-9.07308884,-7.27808284,-5.93595663,79559886631.09663,3.6167,79559887103.32,,2026-06-22T05:17:00.000Z,,,,,,2026-06-22 10:19:57.308320
3408,USDC,USDC,usd-coin,False,74825828633.49374,74825828633.49374,,2018-10-08T00:00:00.000Z,40578,5,2026-06-22T05:17:00.000Z,,,60901219650.23,60890606086.82866,74812788358.1,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",0.9998257249450455,5909028351.924367,4408795429.665612,1500232922.2587395,23.7485,-0.0078025,0.01446267,0.00934176,0.0001799,0.0114784,-0.01256943,74812788358.09663,3.4009,74812788358.1,,2026-06-22T05:17:00.000Z,1027.0,ethereum,Ethereum,ETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-06-22 10:19:57.308320
