Title,Price,Date
Data Analyst Gift  Data Analysis Shirt  Data Scientist Present  Funny Data Science  Data Or It Didn't Happen  Unisex Tee,"6,261",2026-06-18
Data Analyst Gift  Data Analysis Shirt  Data Scientist Present  Funny Data Science  Data Or It Didn't Happen  Unisex Tee,"6,261",2026-06-18
Data Analyst Gift  Data Analysis Shirt  Data Scientist Present  Funny Data Science  Data Or It Didn't Happen  Unisex Tee,"6,261",2026-06-18
